nome;ID_aluno;dominio;email
JOSE;235;@dominiodoemail.com.br;jose@dominiodoemail.com.br
JOAO;43;@servicodoemail.com;joao@servicodoemail.com
ANTONIO;304;@servicodoemail.com;antonio@servicodoemail.com
FRANCISCO;156;@servicodoemail.com;francisco@servicodoemail.com
CARLOS;343;@servicodoemail.com;carlos@servicodoemail.com
PAULO;310;@dominiodoemail.com.br;paulo@dominiodoemail.com.br
PEDRO;55;@dominiodoemail.com.br;pedro@dominiodoemail.com.br
LUCAS;288;@dominiodoemail.com.br;lucas@dominiodoemail.com.br
LUIZ;379;@servicodoemail.com;luiz@servicodoemail.com
MARCOS;92;@servicodoemail.com;marcos@servicodoemail.com
LUIS;174;@dominiodoemail.com.br;luis@dominiodoemail.com.br
GABRIEL;218;@servicodoemail.com;gabriel@servicodoemail.com
RAFAEL;217;@servicodoemail.com;rafael@servicodoemail.com
DANIEL;34;@dominiodoemail.com.br;daniel@dominiodoemail.com.br
MARCELO;185;@dominiodoemail.com.br;marcelo@dominiodoemail.com.br
BRUNO;347;@servicodoemail.com;bruno@servicodoemail.com
EDUARDO;191;@servicodoemail.com;eduardo@servicodoemail.com
FELIPE;163;@servicodoemail.com;felipe@servicodoemail.com
RAIMUNDO;42;@servicodoemail.com;raimundo@servicodoemail.com
RODRIGO;10;@servicodoemail.com;rodrigo@servicodoemail.com
MANOEL;200;@dominiodoemail.com.br;manoel@dominiodoemail.com.br
MATEUS;287;@dominiodoemail.com.br;mateus@dominiodoemail.com.br
ANDRE;80;@servicodoemail.com;andre@servicodoemail.com
FERNANDO;173;@dominiodoemail.com.br;fernando@dominiodoemail.com.br
FABIO;16;@dominiodoemail.com.br;fabio@dominiodoemail.com.br
LEONARDO;49;@dominiodoemail.com.br;leonardo@dominiodoemail.com.br
GUSTAVO;12;@servicodoemail.com;gustavo@servicodoemail.com
GUILHERME;240;@servicodoemail.com;guilherme@servicodoemail.com
LEANDRO;242;@servicodoemail.com;leandro@servicodoemail.com
TIAGO;328;@dominiodoemail.com.br;tiago@dominiodoemail.com.br
ANDERSON;172;@servicodoemail.com;anderson@servicodoemail.com
RICARDO;103;@servicodoemail.com;ricardo@servicodoemail.com
MARCIO;284;@dominiodoemail.com.br;marcio@dominiodoemail.com.br
JORGE;192;@dominiodoemail.com.br;jorge@dominiodoemail.com.br
SEBASTIAO;350;@dominiodoemail.com.br;sebastiao@dominiodoemail.com.br
ALEXANDRE;262;@dominiodoemail.com.br;alexandre@dominiodoemail.com.br
ROBERTO;338;@dominiodoemail.com.br;roberto@dominiodoemail.com.br
EDSON;333;@dominiodoemail.com.br;edson@dominiodoemail.com.br
DIEGO;76;@servicodoemail.com;diego@servicodoemail.com
VITOR;297;@dominiodoemail.com.br;vitor@dominiodoemail.com.br
SERGIO;238;@servicodoemail.com;sergio@servicodoemail.com
CLAUDIO;296;@servicodoemail.com;claudio@servicodoemail.com
MATHEUS;268;@servicodoemail.com;matheus@servicodoemail.com
THIAGO;158;@servicodoemail.com;thiago@servicodoemail.com
GERALDO;259;@dominiodoemail.com.br;geraldo@dominiodoemail.com.br
ADRIANO;37;@servicodoemail.com;adriano@servicodoemail.com
LUCIANO;358;@servicodoemail.com;luciano@servicodoemail.com
JULIO;241;@dominiodoemail.com.br;julio@dominiodoemail.com.br
RENATO;391;@servicodoemail.com;renato@servicodoemail.com
ALEX;249;@dominiodoemail.com.br;alex@dominiodoemail.com.br
VINICIUS;27;@dominiodoemail.com.br;vinicius@dominiodoemail.com.br
ROGERIO;102;@servicodoemail.com;rogerio@servicodoemail.com
SAMUEL;276;@dominiodoemail.com.br;samuel@dominiodoemail.com.br
RONALDO;233;@dominiodoemail.com.br;ronaldo@dominiodoemail.com.br
MARIO;281;@dominiodoemail.com.br;mario@dominiodoemail.com.br
FLAVIO;25;@dominiodoemail.com.br;flavio@dominiodoemail.com.br
DOUGLAS;14;@dominiodoemail.com.br;douglas@dominiodoemail.com.br
IGOR;303;@servicodoemail.com;igor@servicodoemail.com
DAVI;193;@servicodoemail.com;davi@servicodoemail.com
MANUEL;83;@dominiodoemail.com.br;manuel@dominiodoemail.com.br
JEFERSON;32;@servicodoemail.com;jeferson@servicodoemail.com
CICERO;21;@dominiodoemail.com.br;cicero@dominiodoemail.com.br
VICTOR;60;@servicodoemail.com;victor@servicodoemail.com
MIGUEL;228;@servicodoemail.com;miguel@servicodoemail.com
ROBSON;396;@servicodoemail.com;robson@servicodoemail.com
MAURICIO;278;@servicodoemail.com;mauricio@servicodoemail.com
DANILO;122;@servicodoemail.com;danilo@servicodoemail.com
HENRIQUE;212;@dominiodoemail.com.br;henrique@dominiodoemail.com.br
CAIO;108;@dominiodoemail.com.br;caio@dominiodoemail.com.br
REGINALDO;151;@servicodoemail.com;reginaldo@servicodoemail.com
JOAQUIM;73;@dominiodoemail.com.br;joaquim@dominiodoemail.com.br
BENEDITO;265;@dominiodoemail.com.br;benedito@dominiodoemail.com.br
GILBERTO;232;@servicodoemail.com;gilberto@servicodoemail.com
MARCO;53;@dominiodoemail.com.br;marco@dominiodoemail.com.br
ALAN;246;@dominiodoemail.com.br;alan@dominiodoemail.com.br
NELSON;180;@servicodoemail.com;nelson@servicodoemail.com
CRISTIANO;203;@servicodoemail.com;cristiano@servicodoemail.com
ELIAS;324;@servicodoemail.com;elias@servicodoemail.com
WILSON;115;@dominiodoemail.com.br;wilson@dominiodoemail.com.br
VALDIR;329;@dominiodoemail.com.br;valdir@dominiodoemail.com.br
EMERSON;179;@servicodoemail.com;emerson@servicodoemail.com
LUAN;253;@dominiodoemail.com.br;luan@dominiodoemail.com.br
DAVID;7;@servicodoemail.com;david@servicodoemail.com
RENAN;275;@dominiodoemail.com.br;renan@dominiodoemail.com.br
SEVERINO;126;@dominiodoemail.com.br;severino@dominiodoemail.com.br
FABRICIO;221;@dominiodoemail.com.br;fabricio@dominiodoemail.com.br
MAURO;381;@servicodoemail.com;mauro@servicodoemail.com
JONAS;273;@servicodoemail.com;jonas@servicodoemail.com
GILMAR;96;@servicodoemail.com;gilmar@servicodoemail.com
JEAN;166;@servicodoemail.com;jean@servicodoemail.com
FABIANO;213;@dominiodoemail.com.br;fabiano@dominiodoemail.com.br
WESLEY;367;@servicodoemail.com;wesley@servicodoemail.com
DIOGO;377;@dominiodoemail.com.br;diogo@dominiodoemail.com.br
ADILSON;372;@servicodoemail.com;adilson@servicodoemail.com
JAIR;1;@dominiodoemail.com.br;jair@dominiodoemail.com.br
ALESSANDRO;292;@dominiodoemail.com.br;alessandro@dominiodoemail.com.br
EVERTON;211;@dominiodoemail.com.br;everton@dominiodoemail.com.br
OSVALDO;201;@servicodoemail.com;osvaldo@servicodoemail.com
GILSON;148;@dominiodoemail.com.br;gilson@dominiodoemail.com.br
WILLIAN;39;@servicodoemail.com;willian@servicodoemail.com
JOEL;171;@servicodoemail.com;joel@servicodoemail.com
SILVIO;298;@servicodoemail.com;silvio@servicodoemail.com
HELIO;149;@dominiodoemail.com.br;helio@dominiodoemail.com.br
MAICON;145;@dominiodoemail.com.br;maicon@dominiodoemail.com.br
REINALDO;13;@servicodoemail.com;reinaldo@servicodoemail.com
PABLO;371;@dominiodoemail.com.br;pablo@dominiodoemail.com.br
ARTUR;342;@servicodoemail.com;artur@servicodoemail.com
VAGNER;56;@dominiodoemail.com.br;vagner@dominiodoemail.com.br
VALTER;31;@servicodoemail.com;valter@servicodoemail.com
CELSO;300;@servicodoemail.com;celso@servicodoemail.com
IVAN;22;@servicodoemail.com;ivan@servicodoemail.com
CLEITON;121;@servicodoemail.com;cleiton@servicodoemail.com
VANDERLEI;161;@dominiodoemail.com.br;vanderlei@dominiodoemail.com.br
VICENTE;143;@servicodoemail.com;vicente@servicodoemail.com
ARTHUR;380;@dominiodoemail.com.br;arthur@dominiodoemail.com.br
MILTON;94;@dominiodoemail.com.br;milton@dominiodoemail.com.br
DOMINGOS;261;@dominiodoemail.com.br;domingos@dominiodoemail.com.br
WAGNER;189;@servicodoemail.com;wagner@servicodoemail.com
SANDRO;285;@dominiodoemail.com.br;sandro@dominiodoemail.com.br
MOISES;190;@servicodoemail.com;moises@servicodoemail.com
EDILSON;178;@dominiodoemail.com.br;edilson@dominiodoemail.com.br
ADEMIR;106;@servicodoemail.com;ademir@servicodoemail.com
ADAO;6;@servicodoemail.com;adao@servicodoemail.com
EVANDRO;289;@dominiodoemail.com.br;evandro@dominiodoemail.com.br
CESAR;280;@dominiodoemail.com.br;cesar@dominiodoemail.com.br
VALMIR;20;@servicodoemail.com;valmir@servicodoemail.com
MURILO;30;@dominiodoemail.com.br;murilo@dominiodoemail.com.br
JULIANO;79;@dominiodoemail.com.br;juliano@dominiodoemail.com.br
EDVALDO;357;@servicodoemail.com;edvaldo@servicodoemail.com
AILTON;135;@servicodoemail.com;ailton@servicodoemail.com
JUNIOR;197;@servicodoemail.com;junior@servicodoemail.com
BRENO;370;@servicodoemail.com;breno@servicodoemail.com
NICOLAS;72;@servicodoemail.com;nicolas@servicodoemail.com
RUAN;95;@dominiodoemail.com.br;ruan@dominiodoemail.com.br
ALBERTO;274;@dominiodoemail.com.br;alberto@dominiodoemail.com.br
RUBENS;387;@servicodoemail.com;rubens@servicodoemail.com
NILTON;36;@servicodoemail.com;nilton@servicodoemail.com
AUGUSTO;129;@servicodoemail.com;augusto@servicodoemail.com
CLEBER;75;@dominiodoemail.com.br;cleber@dominiodoemail.com.br
OSMAR;54;@servicodoemail.com;osmar@servicodoemail.com
NILSON;23;@dominiodoemail.com.br;nilson@dominiodoemail.com.br
ORLANDO;325;@servicodoemail.com;orlando@servicodoemail.com
HUGO;286;@servicodoemail.com;hugo@servicodoemail.com
OTAVIO;301;@dominiodoemail.com.br;otavio@dominiodoemail.com.br
VINICIOS;91;@dominiodoemail.com.br;vinicios@dominiodoemail.com.br
ITALO;316;@dominiodoemail.com.br;italo@dominiodoemail.com.br
WILIAN;352;@dominiodoemail.com.br;wilian@dominiodoemail.com.br
ALISSON;397;@dominiodoemail.com.br;alisson@dominiodoemail.com.br
APARECIDO;334;@servicodoemail.com;aparecido@servicodoemail.com
ISRAEL;399;@dominiodoemail.com.br;israel@dominiodoemail.com.br
