;nome;ID_aluno;dominio;email;matricula
0;JOSE;235;@dominiodoemail.com.br;jose@dominiodoemail.com.br;3
1;JOAO;43;@servicodoemail.com;joao@servicodoemail.com;1
2;ANTONIO;304;@servicodoemail.com;antonio@servicodoemail.com;1
3;FRANCISCO;156;@servicodoemail.com;francisco@servicodoemail.com;3
4;CARLOS;343;@servicodoemail.com;carlos@servicodoemail.com;1
5;PAULO;310;@dominiodoemail.com.br;paulo@dominiodoemail.com.br;4
6;PEDRO;55;@dominiodoemail.com.br;pedro@dominiodoemail.com.br;2
7;LUCAS;288;@dominiodoemail.com.br;lucas@dominiodoemail.com.br;1
8;LUIZ;379;@servicodoemail.com;luiz@servicodoemail.com;1
9;MARCOS;92;@servicodoemail.com;marcos@servicodoemail.com;4
10;LUIS;174;@dominiodoemail.com.br;luis@dominiodoemail.com.br;2
11;GABRIEL;218;@servicodoemail.com;gabriel@servicodoemail.com;3
12;RAFAEL;217;@servicodoemail.com;rafael@servicodoemail.com;3
13;DANIEL;34;@dominiodoemail.com.br;daniel@dominiodoemail.com.br;4
14;MARCELO;185;@dominiodoemail.com.br;marcelo@dominiodoemail.com.br;1
15;BRUNO;347;@servicodoemail.com;bruno@servicodoemail.com;1
16;EDUARDO;191;@servicodoemail.com;eduardo@servicodoemail.com;2
17;FELIPE;163;@servicodoemail.com;felipe@servicodoemail.com;1
18;RAIMUNDO;42;@servicodoemail.com;raimundo@servicodoemail.com;5
19;RODRIGO;10;@servicodoemail.com;rodrigo@servicodoemail.com;1
20;MANOEL;200;@dominiodoemail.com.br;manoel@dominiodoemail.com.br;1
21;MATEUS;287;@dominiodoemail.com.br;mateus@dominiodoemail.com.br;2
22;ANDRE;80;@servicodoemail.com;andre@servicodoemail.com;1
23;FERNANDO;173;@dominiodoemail.com.br;fernando@dominiodoemail.com.br;8
24;FABIO;16;@dominiodoemail.com.br;fabio@dominiodoemail.com.br;1
25;LEONARDO;49;@dominiodoemail.com.br;leonardo@dominiodoemail.com.br;1
26;GUSTAVO;12;@servicodoemail.com;gustavo@servicodoemail.com;1
27;GUILHERME;240;@servicodoemail.com;guilherme@servicodoemail.com;1
28;LEANDRO;242;@servicodoemail.com;leandro@servicodoemail.com;1
29;TIAGO;328;@dominiodoemail.com.br;tiago@dominiodoemail.com.br;3
30;ANDERSON;172;@servicodoemail.com;anderson@servicodoemail.com;2
31;RICARDO;103;@servicodoemail.com;ricardo@servicodoemail.com;1
32;MARCIO;284;@dominiodoemail.com.br;marcio@dominiodoemail.com.br;7
33;JORGE;192;@dominiodoemail.com.br;jorge@dominiodoemail.com.br;2
34;SEBASTIAO;350;@dominiodoemail.com.br;sebastiao@dominiodoemail.com.br;1
35;ALEXANDRE;262;@dominiodoemail.com.br;alexandre@dominiodoemail.com.br;2
36;ROBERTO;338;@dominiodoemail.com.br;roberto@dominiodoemail.com.br;1
37;EDSON;333;@dominiodoemail.com.br;edson@dominiodoemail.com.br;1
38;DIEGO;76;@servicodoemail.com;diego@servicodoemail.com;2
39;VITOR;297;@dominiodoemail.com.br;vitor@dominiodoemail.com.br;2
40;SERGIO;238;@servicodoemail.com;sergio@servicodoemail.com;2
